state,sub_state,time,deaths_2021,deaths_2020
Gujarat,Ahmedabad city,March 1st - May 10th,13593,7786
Gujarat,Ahmedabad district,March 1st - May 10th,5866,2606
Gujarat,Gandhinagar city,March 1st - May 10th,1238,510
Gujarat,Gandhinagar district,March 1st - May 10th,3131,2542
Gujarat,Anand,March 1st - May 10th,2026,503
Gujarat,Kheda,March 1st - May 10th,1647,1084
Gujarat,Mehsana,March 1st - May 10th,3150,873
Gujarat,Patan,March 1st - May 10th,526,188
Gujarat,Banaskantha,March 1st - May 10th,1526,724
Gujarat,Sabarkantha,March 1st - May 10th,1036,284
Gujarat,Aravalli,March 1st - May 10th,969,1070
Gujarat,Surendranagar,March 1st - May 10th,1494,405
Gujarat,Rajkot city,March 1st - May 10th,10887,2583
Gujarat,Rajkot,March 1st - May 10th,7092,5960
Gujarat,Morbi,March 1st - May 10th,2562,967
Gujarat,Jamnagar,March 1st - May 10th,2783,1219
Gujarat,Jamnagar district,March 1st - May 10th,4894,2052
Gujarat,Devbhoomi Dwarka,March 1st - May 10th,1192,628
Gujarat,Junagadh city,March 1st - May 10th,2422,697
Gujarat,Junagadh,March 1st - May 10th,3164,1451
Gujarat,Amreli,March 1st - May 10th,5449,1712
Gujarat,Gir Somnath,March 1st - May 10th,2922,1145
Gujarat,Porbandar,March 1st - May 10th,1288,1229
Gujarat,Bhavnagar city,March 1st - May 10th,4158,1357
Gujarat,Kachchh,March 1st - May 10th,3235,2761
Gujarat,Vadodara city,March 1st - May 10th,7722,2373
Gujarat,Chhota Udaipur,March 1st - May 10th,78,75
Gujarat,Panchmahal,March 1st - May 10th,870,479
Gujarat,Mahisagar,March 1st - May 10th,419,189
Gujarat,Dahod,March 1st - May 10th,2555,2425
Gujarat,Bharuch,March 1st - May 10th,1788,497
Gujarat,Narmada,March 1st - May 10th,368,92
Gujarat,Surat city,March 1st - May 10th,8851,2769
Gujarat,Surat,March 1st - May 10th,653,264
Gujarat,Tapi,March 1st - May 10th,3232,1271
Gujarat,Navsari,March 1st - May 10th,3434,2026
Gujarat,Dang,March 1st - May 10th,556,274
Gujarat,Valsad,March 1st - May 10th,1604,763
Gujarat,Botad,March 1st - May 10th,2413,878
Gujarat,Bhavnagar,March 1st - May 10th,1089,1357
