month_num,deaths_2015,deaths_2016,deaths_2017,deaths_2018,deaths_2019,deaths_2020,deaths_2021,deaths_2022
1,34918,43871,43769,38874,48794,44567.4,46096.2,53736.8
2,32870,36355,36189,35074,36642,36958.6,36212.6,52219.9
3,37925,34455,36943,36399,36988,39884.7,43203.7,46250.3
4,34983,32661,34106,34238,35009,42489.9,52548.5,38401.1
5,33497,33261,34281,34145,35549,36584.4,46841.3,38005.5
6,30590,33897,32971,33031,34483,34701.1,37868.5,
7,33854,34628,36420,36186,34651,39684.4,42997.0,
8,34285,34491,33675,36007,35159,41835.5,51761.2,
9,31038,32071,32521,33281,31999,42800.7,48733.7,
10,32449,34485,34758,35246,34157,45090.9,51726.5,
11,33526,34743,34715,35377,34431,67520.9,52593.5,
12,35593,38046,36314,38591,38079,71041.3,52381.4,
