iso3c,country_name,year,time,time_unit,deaths
ALB,Albania,2015,1,monthly,2490
ALB,Albania,2015,2,monthly,2139
ALB,Albania,2015,3,monthly,2051
ALB,Albania,2015,4,monthly,1906
ALB,Albania,2015,5,monthly,1709
ALB,Albania,2015,6,monthly,1561
ALB,Albania,2015,7,monthly,2008
ALB,Albania,2015,8,monthly,1687
ALB,Albania,2015,9,monthly,1569
ALB,Albania,2015,10,monthly,1560
ALB,Albania,2015,11,monthly,1728
ALB,Albania,2015,12,monthly,2010
ALB,Albania,2016,1,monthly,2065
ALB,Albania,2016,2,monthly,1905
ALB,Albania,2016,3,monthly,1910
ALB,Albania,2016,4,monthly,1652
ALB,Albania,2016,5,monthly,1716
ALB,Albania,2016,6,monthly,1678
ALB,Albania,2016,7,monthly,1643
ALB,Albania,2016,8,monthly,1578
ALB,Albania,2016,9,monthly,1459
ALB,Albania,2016,10,monthly,1743
ALB,Albania,2016,11,monthly,1855
ALB,Albania,2016,12,monthly,2184
ALB,Albania,2017,1,monthly,3129
ALB,Albania,2017,2,monthly,1845
ALB,Albania,2017,3,monthly,1817
ALB,Albania,2017,4,monthly,1665
ALB,Albania,2017,5,monthly,1660
ALB,Albania,2017,6,monthly,1605
ALB,Albania,2017,7,monthly,1788
ALB,Albania,2017,8,monthly,1833
ALB,Albania,2017,9,monthly,1482
ALB,Albania,2017,10,monthly,1679
ALB,Albania,2017,11,monthly,1716
ALB,Albania,2017,12,monthly,2013
ALB,Albania,2018,1,monthly,2158
ALB,Albania,2018,2,monthly,2013
ALB,Albania,2018,3,monthly,2136
ALB,Albania,2018,4,monthly,1828
ALB,Albania,2018,5,monthly,1664
ALB,Albania,2018,6,monthly,1576
ALB,Albania,2018,7,monthly,1641
ALB,Albania,2018,8,monthly,1709
ALB,Albania,2018,9,monthly,1621
ALB,Albania,2018,10,monthly,1668
ALB,Albania,2018,11,monthly,1730
ALB,Albania,2018,12,monthly,2060
ALB,Albania,2019,1,monthly,2397
ALB,Albania,2019,2,monthly,1974
ALB,Albania,2019,3,monthly,1990
ALB,Albania,2019,4,monthly,1687
ALB,Albania,2019,5,monthly,1744
ALB,Albania,2019,6,monthly,1718
ALB,Albania,2019,7,monthly,1744
ALB,Albania,2019,8,monthly,1734
ALB,Albania,2019,9,monthly,1528
ALB,Albania,2019,10,monthly,1673
ALB,Albania,2019,11,monthly,1792
ALB,Albania,2019,12,monthly,1956
ALB,Albania,2020,1,monthly,2187
ALB,Albania,2020,2,monthly,2018
ALB,Albania,2020,3,monthly,1993
ALB,Albania,2020,4,monthly,1804
ALB,Albania,2020,5,monthly,1803
ALB,Albania,2020,6,monthly,1779
ALB,Albania,2020,7,monthly,2166
ALB,Albania,2020,8,monthly,2476
ALB,Albania,2020,9,monthly,1982
ALB,Albania,2020,10,monthly,2403
ALB,Albania,2020,11,monthly,3854
ALB,Albania,2020,12,monthly,3140
ALB,Albania,2021,1,monthly,3002
ALB,Albania,2021,2,monthly,3773
ALB,Albania,2021,3,monthly,3447
ALB,Albania,2021,4,monthly,2419
ALB,Albania,2021,5,monthly,1874
ALB,Albania,2021,6,monthly,1822
ALB,Albania,2021,7,monthly,1820
ALB,Albania,2021,8,monthly,2080
ALB,Albania,2021,9,monthly,2506
ALB,Albania,2021,10,monthly,2559
ALB,Albania,2021,11,monthly,2506
ALB,Albania,2021,12,monthly,2772
ALB,Albania,2022,1,monthly,3302
ALB,Albania,2022,2,monthly,2774
ALB,Albania,2022,3,monthly,2043
ALB,Albania,2022,4,monthly,1711
ALB,Albania,2022,5,monthly,1682
ALB,Albania,2022,6,monthly,1673
ALB,Albania,2022,7,monthly,1991
ALB,Albania,2022,8,monthly,1907
ALB,Albania,2022,9,monthly,1531
ALB,Albania,2022,10,monthly,1672
ALB,Albania,2022,11,monthly,1686
ALB,Albania,2022,12,monthly,2026
ALB,Albania,2023,1,monthly,2173
ALB,Albania,2023,2,monthly,1899
ALB,Albania,2023,3,monthly,1767
ALB,Albania,2023,4,monthly,1668
ALB,Albania,2023,5,monthly,1696
ALB,Albania,2023,6,monthly,1586
ALB,Albania,2023,7,monthly,2000
ALB,Albania,2023,8,monthly,1719
ALB,Albania,2023,9,monthly,1619
ALB,Albania,2023,10,monthly,1660
ALB,Albania,2023,11,monthly,1675
ALB,Albania,2023,12,monthly,1824
ALB,Albania,2024,1,monthly,2170
ALB,Albania,2024,2,monthly,1950
ALB,Albania,2024,3,monthly,1417
ALB,Albania,2024,4,monthly,1693
ALB,Albania,2024,5,monthly,1677
ALB,Albania,2024,6,monthly,1644
DZA,Algeria,2018,1,monthly,16409.1
DZA,Algeria,2018,2,monthly,15409.1
DZA,Algeria,2018,3,monthly,15227.3
DZA,Algeria,2018,4,monthly,14181.8
DZA,Algeria,2018,5,monthly,14159.1
DZA,Algeria,2018,6,monthly,13613.6
DZA,Algeria,2018,7,monthly,14704.5
DZA,Algeria,2018,8,monthly,14477.3
DZA,Algeria,2018,9,monthly,13500
DZA,Algeria,2018,10,monthly,14727.3
DZA,Algeria,2018,11,monthly,14909.1
DZA,Algeria,2018,12,monthly,15818.2
DZA,Algeria,2019,1,monthly,17783.6
DZA,Algeria,2019,2,monthly,15330.7
DZA,Algeria,2019,3,monthly,15366.7
DZA,Algeria,2019,4,monthly,14464.9
DZA,Algeria,2019,5,monthly,14464.9
DZA,Algeria,2019,6,monthly,14284.6
DZA,Algeria,2019,7,monthly,14753.5
DZA,Algeria,2019,8,monthly,14969.9
DZA,Algeria,2019,9,monthly,14032.1
DZA,Algeria,2019,10,monthly,14789.6
DZA,Algeria,2019,11,monthly,15042.1
DZA,Algeria,2019,12,monthly,16160.3
DZA,Algeria,2020,1,monthly,17733
DZA,Algeria,2020,2,monthly,15909
DZA,Algeria,2020,3,monthly,15951
DZA,Algeria,2020,4,monthly,15223
DZA,Algeria,2020,5,monthly,14596
DZA,Algeria,2020,6,monthly,18704
DZA,Algeria,2020,7,monthly,33940
DZA,Algeria,2020,8,monthly,23991
DZA,Algeria,2020,9,monthly,17393
DZA,Algeria,2020,10,monthly,19279
DZA,Algeria,2020,11,monthly,26916
DZA,Algeria,2020,12,monthly,21434
DZA,Algeria,2021,1,monthly,18263
DZA,Algeria,2021,2,monthly,14860
DZA,Algeria,2021,3,monthly,16320
DZA,Algeria,2021,4,monthly,15774
DZA,Algeria,2021,5,monthly,16564
DZA,Algeria,2021,6,monthly,17883
DZA,Algeria,2021,7,monthly,33658
DZA,Algeria,2021,8,monthly,46177
DZA,Algeria,2021,9,monthly,20701
DZA,Algeria,2021,10,monthly,17637
DZA,Algeria,2021,11,monthly,18333
DZA,Algeria,2021,12,monthly,22321
DZA,Algeria,2022,1,monthly,26226
DZA,Algeria,2022,2,monthly,21528
DZA,Algeria,2022,3,monthly,15696
DZA,Algeria,2022,4,monthly,14177
DZA,Algeria,2022,5,monthly,15181
DZA,Algeria,2022,6,monthly,14366
DZA,Algeria,2022,7,monthly,15868
DZA,Algeria,2022,8,monthly,16363
DZA,Algeria,2022,9,monthly,14476
DZA,Algeria,2022,10,monthly,15195
DZA,Algeria,2022,11,monthly,16492
DZA,Algeria,2022,12,monthly,17578
DZA,Algeria,2023,1,monthly,17886
DZA,Algeria,2023,2,monthly,15298
DZA,Algeria,2023,3,monthly,15630
DZA,Algeria,2023,4,monthly,14933
DZA,Algeria,2023,5,monthly,14791
DZA,Algeria,2023,6,monthly,14077
DZA,Algeria,2023,7,monthly,19710
DZA,Algeria,2023,8,monthly,15812
DZA,Algeria,2023,9,monthly,14633
DZA,Algeria,2023,10,monthly,15391
DZA,Algeria,2023,11,monthly,15731
DZA,Algeria,2023,12,monthly,18294
AND,Andorra,2015,1,monthly,22
AND,Andorra,2015,2,monthly,25
AND,Andorra,2015,3,monthly,29
AND,Andorra,2015,4,monthly,26
AND,Andorra,2015,5,monthly,26
AND,Andorra,2015,6,monthly,16
AND,Andorra,2015,7,monthly,27
AND,Andorra,2015,8,monthly,18
AND,Andorra,2015,9,monthly,25
AND,Andorra,2015,10,monthly,25
AND,Andorra,2015,11,monthly,16
AND,Andorra,2015,12,monthly,27
AND,Andorra,2016,1,monthly,27
AND,Andorra,2016,2,monthly,21
AND,Andorra,2016,3,monthly,31
AND,Andorra,2016,4,monthly,19
AND,Andorra,2016,5,monthly,22
AND,Andorra,2016,6,monthly,25
AND,Andorra,2016,7,monthly,32
AND,Andorra,2016,8,monthly,34
AND,Andorra,2016,9,monthly,16
AND,Andorra,2016,10,monthly,24
AND,Andorra,2016,11,monthly,24
AND,Andorra,2016,12,monthly,35
AND,Andorra,2017,1,monthly,49
AND,Andorra,2017,2,monthly,29
AND,Andorra,2017,3,monthly,39
AND,Andorra,2017,4,monthly,22
AND,Andorra,2017,5,monthly,17
AND,Andorra,2017,6,monthly,26
AND,Andorra,2017,7,monthly,17
AND,Andorra,2017,8,monthly,18
AND,Andorra,2017,9,monthly,23
AND,Andorra,2017,10,monthly,24
AND,Andorra,2017,11,monthly,29
AND,Andorra,2017,12,monthly,30
AND,Andorra,2018,1,monthly,38
AND,Andorra,2018,2,monthly,28
AND,Andorra,2018,3,monthly,36
AND,Andorra,2018,4,monthly,21
AND,Andorra,2018,5,monthly,16
AND,Andorra,2018,6,monthly,31
AND,Andorra,2018,7,monthly,23
AND,Andorra,2018,8,monthly,30
AND,Andorra,2018,9,monthly,30
AND,Andorra,2018,10,monthly,33
AND,Andorra,2018,11,monthly,24
AND,Andorra,2018,12,monthly,25
AND,Andorra,2019,1,monthly,29
AND,Andorra,2019,2,monthly,29
AND,Andorra,2019,3,monthly,19
AND,Andorra,2019,4,monthly,26
AND,Andorra,2019,5,monthly,19
AND,Andorra,2019,6,monthly,23
AND,Andorra,2019,7,monthly,30
AND,Andorra,2019,8,monthly,18
AND,Andorra,2019,9,monthly,24
AND,Andorra,2019,10,monthly,23
AND,Andorra,2019,11,monthly,30
AND,Andorra,2019,12,monthly,31
AND,Andorra,2020,1,monthly,34
AND,Andorra,2020,2,monthly,37
AND,Andorra,2020,3,monthly,40
AND,Andorra,2020,4,monthly,60
AND,Andorra,2020,5,monthly,36
AND,Andorra,2020,6,monthly,26
AND,Andorra,2020,7,monthly,29
AND,Andorra,2020,8,monthly,19
AND,Andorra,2020,9,monthly,27
AND,Andorra,2020,10,monthly,51
AND,Andorra,2020,11,monthly,19
AND,Andorra,2020,12,monthly,41
AND,Andorra,2021,1,monthly,52
AND,Andorra,2021,2,monthly,36
AND,Andorra,2021,3,monthly,26
AND,Andorra,2021,4,monthly,43
AND,Andorra,2021,5,monthly,32
AND,Andorra,2021,6,monthly,19
AND,Andorra,2021,7,monthly,29
AND,Andorra,2021,8,monthly,28
AND,Andorra,2021,9,monthly,26
AND,Andorra,2021,10,monthly,27
AND,Andorra,2021,11,monthly,26
AND,Andorra,2021,12,monthly,42
ATG,Antigua and Barbuda,2015,1,monthly,36
